name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,swift,1,21,714,139.691,737460,0,72% 63% 70% 95%,46.695
binarytrees,mri,1,21,376,1888.230,1558452,0,1% 31% 56% 13%,1889.865
binarytrees,jruby,4,21,364,172.767,1772816,0,40% 40% 61% 44%,93.773
binarytrees,mri,4,21,364,1791.693,1558800,0,0% 3% 8% 91%,1793.242
binarytrees,typescript,2,21,448,80.414,658776,0,61% 39% 38% 44%,44.512
binarytrees,yarv,5,21,1083,137.379,511724,0,66% 90% 70% 63%,47.661
binarytrees,php,1,21,451,228.331,734884,0,29% 0% 0% 72%,228.499
binarytrees,sbcl,2,21,649,0.000,0,-10,0% 0% 50% 0%,0.011
binarytrees,hipe,2,21,478,23.315,399604,0,71% 77% 85% 73%,7.632
binarytrees,mri,2,21,378,1889.829,1558476,0,15% 52% 12% 22%,1891.468
binarytrees,gpp,3,21,945,11.894,231608,0,56% 76% 94% 38%,4.543
binarytrees,go,4,21,654,109.578,434632,0,94% 95% 95% 97%,28.798
binarytrees,python3,2,21,338,307.845,275916,0,0% 14% 87% 0%,307.985
binarytrees,vw,3,21,938,83.716,375020,0,59% 78% 64% 71%,31.150
binarytrees,yarv,2,21,378,179.321,561492,0,13% 88% 0% 0%,179.438
binarytrees,gnat,4,21,2107,26.607,202576,0,84% 74% 90% 73%,8.415
binarytrees,hack,3,21,425,29.987,351104,0,27% 74% 1% 1%,30.021
binarytrees,typescript,1,21,451,80.404,658672,0,46% 35% 43% 57%,44.569
binarytrees,jruby,3,21,400,107.619,1868412,0,17% 43% 26% 33%,91.370
binarytrees,fsharpcore,2,21,482,42.893,1104908,0,27% 29% 18% 40%,38.249
binarytrees,fsharpcore,4,21,488,36.181,982168,0,22% 26% 30% 37%,31.648
binarytrees,ghc,2,21,491,55.833,453912,0,96% 35% 35% 38%,27.526
binarytrees,csharpcore,3,21,676,49.146,1905176,0,89% 79% 80% 78%,15.233
binarytrees,go,3,21,640,137.766,874404,0,99% 96% 97% 95%,35.706
binarytrees,mri,5,21,1083,0.000,0,-2,%,0.000
binarytrees,rust,1,21,751,21.401,119720,0,94% 77% 78% 90%,6.361
binarytrees,go,9,21,508,97.467,257972,0,41% 48% 41% 45%,56.287
binarytrees,hipe,1,21,420,21.631,554100,0,45% 11% 45% 2%,21.460
binarytrees,hack,1,21,451,165.982,614816,0,8% 61% 34% 3%,166.087
binarytrees,hack,4,21,742,34.163,351656,0,86% 87% 81% 63%,10.902
binarytrees,yarv,3,21,400,182.259,433576,0,80% 21% 0% 0%,182.391
binarytrees,lua,2,21,412,467.623,2312236,0,59% 1% 1% 42%,468.115
binarytrees,gpp,6,21,844,11.000,226000,0,37% 70% 90% 55%,4.414
binarytrees,fsharpcore,6,21,611,28.838,1055608,0,82% 81% 85% 83%,8.809
binarytrees,sbcl,1,21,594,29.739,375296,0,0% 1% 100% 0%,29.784
binarytrees,perl,1,21,395,430.485,598628,0,9% 1% 1% 91%,430.664
binarytrees,gnat,5,21,2107,26.489,202500,0,93% 80% 73% 80%,8.270
binarytrees,ifc,2,21,1148,17.297,115892,0,63% 68% 66% 100%,5.843
binarytrees,ghc,6,21,592,0.000,0,-11,%,0.000
binarytrees,csharpcore,2,21,586,19.534,817300,0,37% 27% 32% 15%,17.812
binarytrees,gcc,5,21,908,68.465,351304,0,91% 80% 98% 91%,19.050
binarytrees,dart,1,21,457,48.654,550668,0,27% 63% 31% 8%,38.019
binarytrees,fsharpcore,1,21,506,33.026,1041376,0,30% 27% 22% 38%,28.594
binarytrees,java,6,21,529,16.126,871440,0,12% 83% 23% 12%,12.658
binarytrees,fsharpcore,8,21,619,28.640,1049740,0,87% 88% 83% 82%,8.536
binarytrees,racket,1,21,476,49.169,619480,0,0% 35% 66% 0%,49.222
binarytrees,node,1,21,440,81.909,658324,0,37% 39% 59% 46%,45.391
binarytrees,rust,2,21,721,0.000,0,-11,%,0.000
binarytrees,yarv,4,21,364,127.784,547416,0,0% 1% 1% 100%,127.912
binarytrees,gpp,1,21,754,31.385,1810688,0,97% 92% 92% 92%,8.501
binarytrees,jruby,2,21,378,176.756,2332304,0,26% 25% 55% 63%,106.726
binarytrees,gcc,3,21,836,7.569,133956,0,80% 65% 68% 100%,2.439
binarytrees,python3,1,21,589,337.740,280624,0,92% 89% 87% 93%,93.553
binarytrees,csharpcore,4,21,810,26.126,877360,0,80% 80% 81% 79%,8.259
binarytrees,php,5,21,1040,222.044,736908,0,91% 95% 0% 95%,79.007
binarytrees,swift,9,21,1001,14.171,192172,0,60% 60% 63% 100%,5.053
binarytrees,fpascal,1,21,715,36.397,262180,0,100% 1% 1% 0%,36.424
binarytrees,go,7,21,525,101.848,256892,0,46% 42% 45% 43%,58.116
binarytrees,yarv,1,21,376,170.859,549480,0,1% 1% 0% 100%,170.999
binarytrees,fsharpcore,7,21,516,51.179,1220380,0,78% 79% 79% 81%,16.997
binarytrees,java,4,21,840,16.910,786092,0,45% 39% 25% 30%,12.374
binarytrees,php,3,21,428,223.651,1551796,0,5% 13% 19% 66%,223.816
binarytrees,go,2,21,660,115.730,414780,0,97% 95% 96% 96%,30.231
binarytrees,sbcl,3,21,943,24.246,311372,0,77% 49% 47% 44%,11.631
binarytrees,gcc,1,21,654,37.064,263700,0,0% 1% 0% 100%,37.090
binarytrees,gpp,9,21,809,7.988,135568,0,85% 96% 69% 66%,2.549
binarytrees,gnat,3,21,1266,84.884,528180,0,83% 90% 84% 83%,24.973
binarytrees,java,2,21,552,16.427,842424,0,23% 66% 22% 18%,12.924
binarytrees,fsharpcore,5,21,515,0.000,780,-10,0% 4% 17% 92%,0.232
binarytrees,perl,3,21,648,609.324,2199432,0,83% 93% 77% 81%,183.128
binarytrees,java,3,21,540,16.035,826544,0,38% 8% 15% 68%,12.497
binarytrees,ghc,5,21,561,0.000,0,-11,%,0.000
binarytrees,gnat,1,21,888,41.309,265428,0,0% 45% 56% 0%,41.334
binarytrees,ocaml,2,21,751,30.167,115968,0,89% 89% 82% 44%,10.025
binarytrees,ocaml,5,21,461,22.761,151984,0,100% 1% 1% 1%,22.786
binarytrees,ifc,1,21,773,65.596,250956,0,0% 6% 95% 0%,65.640
binarytrees,hack,2,21,422,152.096,614752,0,6% 95% 1% 1%,152.195
binarytrees,php,2,21,423,322.034,734856,0,0% 77% 23% 1%,322.307
binarytrees,java,7,21,835,28.275,933808,0,82% 86% 84% 88%,8.388
binarytrees,fsharpcore,3,21,531,24.892,819252,0,12% 16% 14% 70%,22.534
binarytrees,go,1,21,482,97.604,265700,0,43% 46% 46% 41%,55.803
binarytrees,mri,3,21,400,1306.592,839892,0,23% 20% 30% 29%,1307.567
binarytrees,gpp,8,21,820,13.558,221456,0,71% 98% 55% 40%,5.191
binarytrees,jruby,5,21,1083,235.587,2333064,0,95% 94% 95% 94%,63.732
binarytrees,ghc,3,21,538,0.000,0,-11,%,0.000
binarytrees,jruby,1,21,376,175.312,2330784,0,27% 22% 61% 57%,105.586
binarytrees,racket,2,21,416,29.779,501312,0,0% 1% 100% 0%,29.807
binarytrees,csharpcore,1,21,600,32.768,1169000,0,30% 31% 37% 20%,28.535
binarytrees,vw,1,21,725,75.928,375100,0,0% 100% 1% 0%,76.028
