name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,swift,1,7,714,0.022,0,0,33% 67% 0% 0%,0.022
binarytrees,swift,1,14,714,0.663,1820,0,76% 96% 58% 48%,0.248
binarytrees,swift,1,21,714,139.691,737460,0,72% 63% 70% 95%,46.695
binarytrees,mri,1,7,376,0.015,0,0,0% 0% 100% 33%,0.017
binarytrees,mri,1,14,376,3.898,19100,0,0% 1% 100% 0%,3.901
binarytrees,mri,1,21,376,1888.230,1558452,0,1% 31% 56% 13%,1889.865
binarytrees,jruby,4,7,364,9.409,164388,0,74% 73% 80% 76%,3.125
binarytrees,jruby,4,14,364,10.956,230312,0,67% 78% 71% 64%,3.921
binarytrees,jruby,4,21,364,172.767,1772816,0,40% 40% 61% 44%,93.773
binarytrees,mri,4,7,364,0.015,0,0,0% 100% 0% 0%,0.016
binarytrees,mri,4,14,364,3.355,18800,0,100% 1% 1% 1%,3.358
binarytrees,mri,4,21,364,1791.693,1558800,0,0% 3% 8% 91%,1793.242
binarytrees,typescript,2,7,448,0.089,0,0,0% 20% 0% 100%,0.090
binarytrees,typescript,2,14,448,0.260,960,0,8% 62% 50% 5%,0.233
binarytrees,typescript,2,21,448,80.414,658776,0,61% 39% 38% 44%,44.512
binarytrees,yarv,5,7,1083,0.082,0,0,0% 88% 13% 0%,0.078
binarytrees,yarv,5,14,1083,0.801,18580,0,71% 73% 61% 36%,0.338
binarytrees,yarv,5,21,1083,137.379,511724,0,66% 90% 70% 63%,47.661
binarytrees,php,1,7,451,0.013,0,0,28% 0% 7% 0%,0.261
binarytrees,php,1,14,451,0.828,15728,0,100% 1% 1% 0%,0.829
binarytrees,php,1,21,451,228.331,734884,0,29% 0% 0% 72%,228.499
binarytrees,sbcl,2,7,649,0.000,0,-10,0% 0% 50% 0%,0.011
binarytrees,sbcl,2,14,649,0.000,0,-10,0% 0% 50% 0%,0.011
binarytrees,sbcl,2,21,649,0.000,0,-10,0% 0% 50% 0%,0.011
binarytrees,hipe,2,7,478,0.180,0,0,23% 67% 8% 38%,0.135
binarytrees,hipe,2,14,478,0.287,0,0,33% 76% 24% 47%,0.166
binarytrees,hipe,2,21,478,23.315,399604,0,71% 77% 85% 73%,7.632
binarytrees,mri,2,7,378,0.015,0,0,0% 67% 0% 50%,0.017
binarytrees,mri,2,14,378,3.876,18796,0,0% 100% 1% 0%,3.879
binarytrees,mri,2,21,378,1889.829,1558476,0,15% 52% 12% 22%,1891.468
binarytrees,gpp,3,7,945,0.004,0,0,%,0.000
binarytrees,gpp,3,14,945,0.044,0,0,50% 50% 100% 50%,0.020
